Name,Rank,Arating,Grating,votes
Wits & Wagers Family,1299,6.94,6.305,1588
Tortuga 1667,1300,7.03,6.305,1649
Treasure Hunter,1301,6.79,6.305,2218
La Granja: No Siesta,1302,6.94,6.305,1588
Adventure Land,1303,6.96,6.303999999999999,1538
Florenza,1304,7.42,6.303999999999999,893
The Hanging Gardens,1305,6.79,6.303999999999999,2087
Marrakech,1306,6.71,6.303999999999999,2637
Wits & Wagers Party,1307,6.93,6.303999999999999,1670
The Bridges of Shangri-La,1308,6.77,6.303,2192
Hamsterrolle,1309,6.82,6.303,1901
The Ark of the Covenant,1310,6.99,6.303,1459
B-17: Queen of the Skies,1311,7.02,6.3020000000000005,1789
Zombie 15',1312,6.93,6.3020000000000005,1711
The Red Dragon Inn 3,1313,7.21,6.3020000000000005,1313
Normandy '44,1314,7.87,6.3020000000000005,690
"Run, Fight, or Die!",1315,6.97,6.3020000000000005,1635
Fighting Formations: Grossdeutschland Motorized Infantry Division,1316,7.59,6.3020000000000005,822
Trans Europa,1317,6.64,6.301,3058
My First Carcassonne,1318,6.73,6.301,2649
One Deck Dungeon: Forest of Shadows,1319,7.39,6.301,990
Calimala,1320,7.19,6.301,1127
Wings of War: Burning Drachens,1321,7.14,6.3,1302
Wasabi!,1322,6.54,6.3,4591
Nyet!,1323,6.82,6.2989999999999995,1895
La Cosa Nostra,1324,7.8,6.297999999999999,732
Agricola: Family Edition,1325,7.2,6.297999999999999,1179
Carcassonne: Gold Rush,1326,7.2,6.297999999999999,1134
Field Commander: Napoleon,1327,7.72,6.297999999999999,743
Sanssouci,1328,7.14,6.297000000000001,1196
Hoity Toity,1329,6.53,6.297000000000001,4680
Good Cop Bad Cop,1330,6.69,6.297000000000001,2643
Time's Up! Edición Azul,1331,7.28,6.296,984
Forum Trajanum,1332,7.41,6.295,895
City of Horror,1333,6.73,6.294,2647
Harbour,1334,6.57,6.292000000000001,3954
20th Century,1335,6.89,6.292000000000001,1611
Battletech Introductory Box Set,1336,7.67,6.292000000000001,798
Space Cadets,1337,6.63,6.292000000000001,3027
Paris Connection,1338,6.74,6.292000000000001,2110
Riff Raff,1339,6.96,6.291,1497
Frank's Zoo,1340,6.61,6.291,3199
Atlantic Star,1341,6.88,6.291,1712
Palastgeflüster,1342,6.79,6.291,2002
Copycat,1343,6.78,6.29,1990
Yunnan,1344,7.15,6.289,1169
Carrom,1345,7.0,6.289,1402
World War II: Barbarossa to Berlin,1346,7.26,6.289,1074
Castellion,1347,7.03,6.289,1379
Wildcatters,1348,7.58,6.287999999999999,757
Snake Oil,1349,6.75,6.287000000000001,2279
Werewolf,1350,6.58,6.287000000000001,4097
Dale of Merchants 2,1351,7.34,6.287000000000001,958
Kolejka,1352,6.75,6.2860000000000005,2603
Victory in the Pacific,1353,7.2,6.2860000000000005,1130
League of Six,1354,6.81,6.285,1826
Rum & Bones,1355,7.03,6.285,1454
Samurai Sword,1356,6.7,6.285,2793
SpaceCorp,1357,7.77,6.285,690
Oltre Mare,1358,6.67,6.284,2636
Lotus,1359,6.8,6.284,2040
Lifeboats,1360,6.59,6.2829999999999995,3261
1870: Railroading across the Trans Mississippi from 1870,1361,7.44,6.2829999999999995,868
Isla Dorada,1362,6.74,6.2829999999999995,2277
Magnum Sal,1363,7.02,6.282,1373
Police Precinct,1364,6.97,6.281000000000001,1494
John Company,1365,7.53,6.28,775
Alea Iacta Est,1366,6.64,6.28,2588
Il Vecchio,1367,6.95,6.279,1405
Campaign Manager 2008,1368,6.67,6.278,2479
Qin,1369,6.8,6.278,1877
Mall of Horror,1370,6.65,6.278,2814
Dr. Eureka,1371,6.7,6.278,2357
Holmes: Sherlock & Mycroft,1372,6.92,6.276,1575
Heroes of Terrinoth,1373,7.79,6.276,781
You're Bluffing!,1374,6.61,6.276,3233
Sylla,1375,6.77,6.275,1940
Sails of Glory,1376,7.53,6.275,874
New Amsterdam,1377,7.1,6.275,1180
Exit: The Game – The Forbidden Castle,1378,6.97,6.274,1360
Horse Fever,1379,7.0,6.274,1423
Valdora,1380,6.82,6.273,1824
Mamma Mia!,1381,6.48,6.273,5316
Bonaparte at Marengo,1382,7.39,6.272,862
Razzia!,1383,6.82,6.272,1737
Flip Ships,1384,7.16,6.272,1093
FITS,1385,6.61,6.272,2863
Mafia de Cuba,1386,6.63,6.271,2854
Samarkand: Routes to Riches,1387,6.91,6.27,1518
1944: Race to the Rhine,1388,7.31,6.269,966
Funkenschlag,1389,7.57,6.269,770
Otys,1390,7.06,6.268,1227
Mythotopia,1391,6.91,6.268,1535
Coal Baron: The Great Card Game,1392,7.23,6.267,1006
Android: Infiltration,1393,6.57,6.267,3394
Conquest of Planet Earth: The Space Alien Game,1394,6.92,6.266,1519
Panic on Wall Street!,1395,7.02,6.266,1292
Urban Sprawl,1396,6.76,6.265,1878
Oasis,1397,6.72,6.265,2113
City of Iron: Second Edition,1398,7.38,6.265,872
"Edel, Stein & Reich",1399,6.92,6.265,1443
Once Upon a Time: The Storytelling Card Game,1400,6.45,6.263999999999999,7314
Cube Quest,1401,6.85,6.2620000000000005,1666
The Flow of History,1402,6.92,6.2620000000000005,1470
Dawn of the Zeds (Second edition),1403,7.9,6.2620000000000005,600
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,1404,6.57,6.261,4674
Wildlife Safari,1405,6.62,6.261,2682
Crusader Rex,1406,7.15,6.261,1089
DungeonQuest (third edition),1407,6.64,6.26,2992
Pyramid of Pengqueen,1408,6.91,6.26,1446
Iron Dragon,1409,6.98,6.2589999999999995,1494
The Napoleonic Wars (Second Edition),1410,7.46,6.2589999999999995,816
Flatline,1411,7.32,6.2589999999999995,924
Founders of Gloomhaven,1412,6.89,6.2589999999999995,1672
El Capitán,1413,6.8,6.2589999999999995,1709
Ta Yü,1414,6.96,6.2589999999999995,1374
OddVille,1415,6.85,6.257999999999999,1657
Quests of Valeria,1416,7.04,6.257999999999999,1250
The Reckoners,1417,8.04,6.257000000000001,635
GKR: Heavy Hitters,1418,7.83,6.257000000000001,820
Richard III: The Wars of the Roses,1419,7.41,6.257000000000001,828
DungeonQuest,1420,6.7,6.257000000000001,2501
Bottom of the 9th,1421,6.9,6.256,1576
Euchre,1422,6.78,6.256,1994
Lost Legacy: The Starship,1423,6.66,6.254,2377
SPQR (Deluxe Edition),1424,7.94,6.254,576
Axis & Allies: 1942,1425,6.92,6.251,1967
Unlock! The Tonipal's Treasure,1426,7.17,6.251,1013
EastFront II,1427,8.04,6.25,536
Ultimate Werewolf: Deluxe Edition,1428,7.2,6.25,1202
Revolution: The Dutch Revolt 1568-1648,1429,7.33,6.249,896
Maximum Apocalypse,1430,7.65,6.249,822
Dragonheart,1431,6.58,6.249,2896
Deep Madness,1432,8.21,6.247999999999999,926
Ribbit,1433,6.77,6.247999999999999,1973
Terra,1434,6.83,6.247999999999999,1627
Assyria,1435,6.89,6.247999999999999,1481
Constantinopolis,1436,6.94,6.247000000000001,1412
Long Shot,1437,6.72,6.247000000000001,2007
Nuns on the Run,1438,6.53,6.247000000000001,3574
Guildhall: Job Faire,1439,7.2,6.246,964
Cinque Terre,1440,7.04,6.246,1177
City of Spies: Estoril 1942,1441,7.13,6.245,1091
The Ravens of Thri Sahashri,1442,7.28,6.245,909
Mage Wars Academy,1443,7.3,6.245,926
Carcassonne: Amazonas,1444,7.18,6.245,1003
The Adventurers: The Pyramid of Horus,1445,6.79,6.244,1811
Pioneer Days,1446,7.36,6.242999999999999,870
Path of Light and Shadow,1447,7.54,6.242999999999999,749
Fortress America,1448,6.71,6.242999999999999,2277
Nightfall,1449,6.52,6.242000000000001,3682
1860: Railways on the Isle of Wight,1450,7.96,6.242000000000001,514
Ascension: Darkness Unleashed,1451,7.5,6.242000000000001,782
HeroQuest Advanced Quest,1452,7.28,6.24,1197
Spades,1453,6.75,6.24,1874
The Dresden Files Cooperative Card Game,1454,7.14,6.24,1208
Lost Valley,1455,6.77,6.24,1710
Kakerlakenpoker Royal,1456,6.94,6.239,1351
Claustrophobia 1643,1457,8.42,6.2379999999999995,513
Subbuteo,1458,6.95,6.2379999999999995,1457
Key Harvest,1459,6.8,6.2379999999999995,1609
Rise to Nobility,1460,7.08,6.2379999999999995,1216
Chronicle,1461,6.83,6.237,1612
Alien Artifacts,1462,6.83,6.237,1666
Take it Easy!,1463,6.62,6.236000000000001,2453
Powerboats,1464,6.73,6.235,1796
Warmachine,1465,7.33,6.235,1004
The End of the Triumvirate,1466,6.81,6.235,1563
Around the World in 80 Days,1467,6.57,6.234,2877
Age of Conan: The Strategy Board Game,1468,6.68,6.233,2361
Habitats,1469,7.36,6.233,825
Tower of Babel,1470,6.64,6.233,2218
Warhammer Quest: Silver Tower,1471,7.56,6.233,948
Pit,1472,6.39,6.232,7450
Illuminati (Second Edition),1473,6.52,6.232,4608
Sprawlopolis,1474,7.49,6.232,751
Escape the Dark Castle,1475,8.11,6.231,1156
Tanto Cuore,1476,6.88,6.231,1688
The Great Battles of Alexander: Deluxe Edition,1477,7.72,6.23,643
Perry Rhodan: The Cosmic League,1478,6.79,6.23,1577
Kingsport Festival,1479,6.78,6.23,1787
Keltis,1480,6.43,6.229,5035
DungeonQuest Revised Edition,1481,7.12,6.229,1179
The Builders: Middle Ages,1482,6.52,6.229,3381
Renegade,1483,7.96,6.228,570
Asante,1484,6.91,6.227,1348
Code 777,1485,6.73,6.227,1785
Greed,1486,6.73,6.226,1855
Abalone,1487,6.44,6.226,5501
Waggle Dance,1488,7.05,6.226,1120
Labyrinth,1489,6.39,6.226,8616
Helios,1490,6.81,6.226,1521
Warhammer: The Mass Combat Fantasy Roleplaying Game (1st Edition),1491,6.66,6.225,2498
Poseidon,1492,7.04,6.224,1056
Blockers!,1493,6.7,6.224,1830
Circus Flohcati,1494,6.62,6.223,2351
Inkognito,1495,6.59,6.223,2722
Last Train to Wensleydale,1496,7.13,6.222,950
Escape from Colditz,1497,6.66,6.222,2614
Verräter,1498,6.72,6.221,1809
The Expanse Board Game,1499,7.25,6.221,895
Strike of the Eagle,1500,7.65,6.221,650
Wiz-War,1501,6.88,6.221,1575
Safranito,1502,6.92,6.221,1296
Unhappy King Charles!,1503,7.65,6.221,660
Lords of Scotland,1504,6.79,6.22,1633
Cosmic Encounter,1505,7.2,6.22,946
TurfMaster,1506,7.24,6.218999999999999,911
PÜNCT,1507,6.83,6.218999999999999,1509
Pantheon,1508,6.79,6.218999999999999,1531
Obsession,1509,8.09,6.218,548
Villa Paletti,1510,6.47,6.218,3791
King's Forge,1511,7.01,6.218,1237
To Court the King,1512,6.47,6.2170000000000005,3716
Chicken Cha Cha Cha,1513,6.6,6.2170000000000005,2507
Yellow & Yangtze,1514,8.09,6.2170000000000005,497
Dungeons & Dragons: Conquest of Nerath Board Game,1515,6.95,6.216,1408
Menara,1516,7.49,6.216,720
Revolver,1517,6.93,6.215,1306
Kings of Air and Steam,1518,6.93,6.215,1229
Exit: The Game – The Sunken Treasure,1519,7.28,6.2139999999999995,822
Pente,1520,6.63,6.212999999999999,2542
Shadowrift,1521,7.21,6.212999999999999,969
Daytona 500,1522,7.15,6.212999999999999,987
Nauticus,1523,6.99,6.212999999999999,1117
Thunder & Lightning,1524,7.3,6.212000000000001,819
First Train to Nuremberg,1525,7.11,6.212000000000001,983
Glüx,1526,7.16,6.211,944
Puzzle Strike Shadows,1527,7.87,6.211,579
El Gaucho,1528,6.84,6.211,1412
Sobek,1529,6.71,6.21,1844
Kreta,1530,6.9,6.21,1293
Sol:  Last Days of a Star,1531,7.64,6.209,663
Key to the City: London,1532,7.12,6.207999999999999,960
Carcassonne: Star Wars,1533,6.79,6.207000000000001,1589
Basari,1534,6.77,6.207000000000001,1552
Silverton,1535,7.1,6.205,991
Olympus,1536,6.87,6.205,1312
O Zoo le Mio,1537,6.62,6.205,2089
Drako,1538,6.7,6.205,1910
Ancient Terrible Things,1539,6.89,6.205,1387
First Martians: Adventures on the Red Planet,1540,6.77,6.205,2046
Puzzle Strike,1541,6.7,6.204,1873
Zulus on the Ramparts!,1542,7.38,6.204,790
Concordia Venus,1543,8.38,6.204,408
"Colonial Twilight: The French-Algerian War, 1954-62",1544,7.91,6.202999999999999,545
Timeline Challenge,1545,7.09,6.202999999999999,1017
Gloom,1546,6.36,6.202999999999999,11884
Sea of Clouds,1547,6.8,6.202000000000001,1588
Capitol,1548,6.83,6.2010000000000005,1435
Codenames: Deep Undercover,1549,6.68,6.2010000000000005,2024
Pixel Tactics 2,1550,7.18,6.2010000000000005,938
Time's Up! Edición Amarilla,1551,7.42,6.2010000000000005,732
Hera and Zeus,1552,6.51,6.2010000000000005,3166
Canal Mania,1553,6.9,6.2,1209
VivaJava: The Coffee Game: The Dice Game,1554,6.74,6.2,1628
EastFront,1555,7.64,6.2,643
The Guns of Gettysburg,1556,7.85,6.2,559
Tikal II: The Lost Temple,1557,6.88,6.2,1254
Epic Card Game,1558,6.55,6.2,3630
The Shipwreck Arcana,1559,7.55,6.199,671
Thanos Rising: Avengers Infinity War,1560,7.27,6.199,969
Ardennes '44,1561,7.98,6.199,509
Dungeon Command: Heart of Cormyr,1562,7.37,6.199,820
Citrus,1563,7.09,6.1979999999999995,977
Happy Pigs,1564,6.91,6.1979999999999995,1251
Rise and Decline of the Third Reich,1565,6.83,6.197,1717
R-Eco,1566,6.63,6.197,1987
The U.S. Civil War,1567,8.31,6.197,468
Mystery Express,1568,6.57,6.197,2422
Conquest of Paradise,1569,6.9,6.196000000000001,1260
Boomtown,1570,6.54,6.196000000000001,2542
God's Playground,1571,7.46,6.195,677
LYNGK,1572,7.65,6.195,627
Dynasties: Heirate & Herrsche,1573,7.23,6.195,832
Pick Picknic,1574,6.57,6.195,2400
Metro,1575,6.38,6.195,5214
Age of War,1576,6.42,6.195,5125
Dreamblade,1577,7.17,6.194,954
Kepler-3042,1578,7.47,6.193,734
Money!,1579,6.53,6.193,2571
Friday the 13th,1580,6.45,6.193,3607
Caesar & Cleopatra,1581,6.43,6.193,4074
Power Grid: The Card Game,1582,6.86,6.193,1308
Monsterpocalypse,1583,7.22,6.192,961
Relic Runners,1584,6.65,6.192,1967
XenoShyft: Dreadmire,1585,7.42,6.192,768
Jórvík,1586,6.88,6.191,1297
Dimension,1587,6.88,6.191,1255
Dungeon Command: Sting of Lolth,1588,7.33,6.19,851
Isle of Trains,1589,6.89,6.19,1231
Risk Europe,1590,7.55,6.187,794
Piece o' Cake,1591,6.61,6.187,2051
Fantastiqa,1592,7.03,6.187,1038
Mundus Novus,1593,6.71,6.187,1627
Catan: Junior,1594,6.67,6.186,2000
Red November,1595,6.33,6.186,7378
Rummikub,1596,6.33,6.186,10339
Unlock! The Adventurers of Oz,1597,7.64,6.186,584
Word on the Street,1598,6.62,6.185,2071
Dragonwood,1599,6.8,6.185,1751
Balderdash,1600,6.43,6.185,4717
Würfel Bohnanza,1601,6.68,6.185,1760
The Settlers of the Stone Age,1602,6.6,6.184,2198
Carcassonne: Wheel of Fortune,1603,7.07,6.184,1020
Timbuktu,1604,6.68,6.183,1682
Inhabit the Earth,1605,7.06,6.183,953
Dice Settlers,1606,7.06,6.182,997
Neue Heimat,1607,7.29,6.182,742
Days of Ire: Budapest 1956,1608,7.46,6.182,702
Greenland,1609,7.08,6.18,956
Onward to Venus,1610,6.91,6.18,1174
Avenue,1611,6.95,6.18,1085
Palazzo,1612,6.55,6.18,2329
GOSU,1613,6.57,6.18,2412
Memoarrr!,1614,7.02,6.178999999999999,1046
Famiglia,1615,6.49,6.178999999999999,2778
Spirits of the Forest,1616,7.1,6.178999999999999,1083
Prophecy,1617,6.68,6.178,1823
Scrabble,1618,6.28,6.1770000000000005,22874
Star Wars Customizable Card Game,1619,6.65,6.1770000000000005,2147
Crown of Emara,1620,7.44,6.176,670
Cytosis: A Cell Biology Board Game,1621,7.19,6.176,960
Darkest Night (First edition),1622,7.16,6.176,929
Strike,1623,6.76,6.176,1523
Gaslands,1624,8.37,6.175,448
Star Wars Miniatures,1625,6.87,6.175,1496
Ticket to Ride: Germany,1626,7.72,6.175,587
Click Clack Lumberjack,1627,6.45,6.1739999999999995,3176
A la carte,1628,6.48,6.172999999999999,2858
Prosperity,1629,6.75,6.172999999999999,1465
Bananagrams,1630,6.35,6.172999999999999,6811
Cathedral,1631,6.51,6.172999999999999,3000
Divinare,1632,6.76,6.172000000000001,1421
Bob Ross: Art of Chill Game,1633,6.98,6.172000000000001,1176
DC Comics Deck-Building Game: Forever Evil,1634,7.25,6.171,878
Masons,1635,6.53,6.17,2336
Key Market,1636,7.44,6.169,639
Anomia,1637,6.62,6.169,2135
Nautilion,1638,7.34,6.169,726
That's Life!,1639,6.51,6.169,2601
Bios: Genesis,1640,7.23,6.169,848
River Dragons,1641,6.48,6.169,2939
Le Fantôme de l'Opéra,1642,7.06,6.167999999999999,949
Twixt,1643,6.6,6.167999999999999,2197
7 Ages,1644,7.08,6.167000000000001,988
Noblemen,1645,6.96,6.167000000000001,1039
Sorry! Sliders,1646,6.41,6.167000000000001,3482
The Lord of the Rings Trading Card Game,1647,6.88,6.166,1364
Gloom of Kilforth: A Fantasy Quest Game,1648,7.61,6.166,709
Industrial Waste,1649,6.73,6.165,1459
Hearts,1650,6.44,6.165,3329
Gang of Four,1651,6.61,6.164,2055
Drop It,1652,6.95,6.162999999999999,1049
Gemblo,1653,6.84,6.162999999999999,1288
The Battle for Hill 218,1654,6.65,6.162999999999999,1687
Animals on Board,1655,6.67,6.162000000000001,1602
The Name of the Rose,1656,6.78,6.162000000000001,1372
Mondo,1657,6.54,6.162000000000001,2289
Drakon (third edition),1658,6.51,6.162000000000001,2620
Lost Legacy: Flying Garden,1659,6.74,6.1610000000000005,1429
Stop Thief!,1660,7.09,6.1610000000000005,963
Khet: The Laser Game,1661,6.54,6.1610000000000005,2499
Pendragon: The Fall of Roman Britain,1662,7.99,6.1610000000000005,485
Funemployed,1663,6.89,6.1610000000000005,1203
Unlock! The Island of Doctor Goorse,1664,6.82,6.1610000000000005,1221
Deckscape: Test Time,1665,6.82,6.16,1251
Heimlich & Co.,1666,6.44,6.16,3010
Kokoro: Avenue of the Kodama,1667,6.89,6.16,1102
Tempus,1668,6.49,6.16,2481
Coffee Roaster,1669,7.84,6.159,483
Kupferkessel Co.,1670,6.93,6.159,1053
Flat Top,1671,7.31,6.159,808
P.I.,1672,6.74,6.1579999999999995,1457
Skat,1673,7.23,6.1579999999999995,820
One Night Ultimate Vampire,1674,6.79,6.1579999999999995,1387
Full Metal Planète,1675,7.45,6.1579999999999995,663
Dragon's Gold,1676,6.45,6.157,2863
Custom Heroes,1677,6.9,6.156000000000001,1166
Space Cadets: Away Missions,1678,7.49,6.155,655
Ace of Aces: Handy Rotary Series,1679,7.0,6.155,1049
Star Wars: Legion,1680,8.1,6.155,563
Cargo Noir,1681,6.49,6.155,2597
DreadBall: The Futuristic Sports Game,1682,7.37,6.155,776
Catan: Portable Edition,1683,6.79,6.154,1395
Merchants of Amsterdam,1684,6.72,6.154,1495
"Machi Koro: Bright Lights, Big City",1685,6.74,6.153,1611
Quartermaster General: 1914,1686,7.68,6.153,549
Don't Mess with Cthulhu,1687,6.97,6.153,1051
Band of Brothers: Screaming Eagles,1688,7.8,6.152,526
Heroes Wanted,1689,6.86,6.151,1392
Legacy: Gears of Time,1690,7.08,6.151,897
Hands in the Sea,1691,7.89,6.151,474
"Red Winter: The Soviet Attack at Tolvajärvi, Finland – 8-12 December 1939",1692,8.0,6.151,446
Gunslinger,1693,7.1,6.149,929
Machiavelli,1694,7.1,6.149,970
Witch of Salem,1695,6.65,6.149,1710
Ubongo Extreme,1696,6.82,6.149,1192
Lignum (second edition),1697,7.91,6.148,459
Byzantium,1698,6.82,6.148,1168
The World of SMOG: Rise of Moloch,1699,8.04,6.148,558
Koryŏ,1700,6.73,6.148,1469
Krazy Wordz,1701,7.43,6.147,632
Hunt for the Ring,1702,7.34,6.147,721
Frostgrave,1703,8.09,6.146,501
Wings of War: The Dawn of World War II,1704,6.86,6.146,1227
The Fury of Dracula,1705,6.93,6.145,1118
TAMSK,1706,6.77,6.145,1305
Giganten,1707,6.72,6.145,1339
Battlestations,1708,7.13,6.145,910
Ave Roma,1709,7.24,6.144,741
Cave Troll,1710,6.41,6.143,3341
Liberty Roads,1711,8.11,6.143,446
FAB: The Bulge,1712,7.42,6.143,633
Valletta,1713,7.05,6.143,866
Dungeon Command: Curse of Undeath,1714,7.49,6.141,644
Ascension: Apprentice Edition,1715,7.11,6.141,898
Merchants of the Middle Ages,1716,6.76,6.141,1288
Flying Colors,1717,7.45,6.141,652
Ghost Blitz 2,1718,6.78,6.141,1320
Boss Monster: The Dungeon Building Card Game,1719,6.31,6.141,11263
The Battle at Kemble's Cascade,1720,6.79,6.14,1289
Queen's Architect,1721,6.92,6.138999999999999,1013
Phoenicia,1722,6.58,6.138999999999999,1835
Colonial: Europe's Empires Overseas,1723,7.22,6.138999999999999,877
Mini Rails,1724,6.98,6.138,934
Dungeon Raiders,1725,6.7,6.138,1625
Pandemic: Contagion,1726,6.46,6.138,2679
Shear Panic,1727,6.38,6.1370000000000005,3552
VivaJava: The Coffee Game,1728,6.9,6.1370000000000005,1008
The Capitals,1729,6.99,6.136,946
Mistfall,1730,6.82,6.135,1400
Keltis: Das Kartenspiel,1731,6.72,6.135,1390
World of Warcraft Trading Card Game,1732,6.69,6.1339999999999995,1775
Taboo,1733,6.28,6.1339999999999995,8920
Funny Friends,1734,6.5,6.1339999999999995,2298
March of the Ants,1735,7.14,6.1339999999999995,819
Xenon Profiteer,1736,7.24,6.132999999999999,707
Priests of Ra,1737,6.86,6.132999999999999,1101
Epic Spell Wars of the Battle Wizards: Rumble at Castle Tentakill,1738,6.78,6.132999999999999,1527
Pack & Stack,1739,6.44,6.132000000000001,2714
Storm over Arnhem,1740,7.16,6.132000000000001,817
Outpost,1741,6.83,6.131,1115
Grifters,1742,6.86,6.13,1141
Mississippi Queen,1743,6.36,6.13,3594
Circus Maximus,1744,6.72,6.13,1500
Tao Long: The Way of the Dragon,1745,7.09,6.129,892
The Lord of the Rings: The Fellowship of the Ring Deck-Building Game,1746,6.82,6.129,1264
Dokmus,1747,7.15,6.127999999999999,785
Loot,1748,6.3,6.127999999999999,5439
1754: Conquest – The French and Indian War,1749,7.9,6.127999999999999,466
Big Boggle,1750,6.85,6.127999999999999,1181
Fate of the Elder Gods,1751,7.32,6.127000000000001,696
The Awful Green Things From Outer Space,1752,6.5,6.126,2436
Circle the Wagons,1753,7.3,6.126,680
Top Race,1754,6.76,6.125,1210
Masters Gallery,1755,6.61,6.124,1613
World at War: Eisenbach Gap,1756,7.5,6.124,635
Nightfall: Martial Law,1757,7.04,6.124,837
Greed Incorporated,1758,7.0,6.124,840
Ships,1759,6.92,6.122999999999999,969
Cruel Necessity,1760,7.52,6.122000000000001,599
Ubongo: Duel,1761,6.91,6.122000000000001,976
Super Dungeon Explore: Forgotten King,1762,7.07,6.122000000000001,995
Bios: Megafauna (Second Edition),1763,7.83,6.122000000000001,467
Exit: The Game – The Sinister Mansion,1764,7.58,6.122000000000001,524
Assault on Doomrock,1765,7.12,6.122000000000001,804
Axis & Allies: Pacific,1766,6.68,6.122000000000001,1851
Joking Hazard,1767,6.49,6.122000000000001,3002
10 Days in Europe,1768,6.61,6.122000000000001,1713
Tempel des Schreckens,1769,7.11,6.121,825
Legendary: Buffy The Vampire Slayer,1770,7.72,6.121,548
Planetarium,1771,7.11,6.12,833
Time of Soccer,1772,7.67,6.12,511
Before the Wind,1773,6.67,6.119,1418
Escape: Zombie City,1774,6.89,6.117999999999999,1033
City of Remnants,1775,6.86,6.117999999999999,1100
Comanchería: The Rise and Fall of the Comanche Empire,1776,8.05,6.117999999999999,421
Viva Topo!,1777,6.86,6.117000000000001,1076
The Great War,1778,7.83,6.1160000000000005,487
Cavum,1779,6.72,6.1160000000000005,1280
Illusion,1780,6.83,6.1160000000000005,1072
10 Days in Africa,1781,6.56,6.115,1841
Völuspá,1782,6.7,6.115,1352
Evolution: The Beginning,1783,6.78,6.115,1219
Black Gold,1784,6.88,6.115,1021
Clue: The Great Museum Caper,1785,6.73,6.114,1363
Crypt,1786,7.02,6.114,1011
Grand Cru,1787,6.84,6.114,1024
Expedition,1788,6.84,6.114,1044
Tannhäuser,1789,6.47,6.114,2950
Blood Bowl (Second Edition),1790,6.79,6.1129999999999995,1262
Entdecker: Exploring New Horizons,1791,6.54,6.112,1872
Pixie Queen,1792,7.28,6.112,725
Karmaka,1793,6.77,6.112,1423
Progress: Evolution of Technology,1794,6.6,6.112,1641
Kingmaker,1795,6.49,6.111000000000001,2718
Invasion from Outer Space: The Martian Game,1796,7.1,6.11,818
My First Stone Age,1797,6.72,6.11,1329
Maori,1798,6.62,6.11,1448
Pursuit of Glory,1799,7.88,6.109,457
Fuji Flush,1800,6.54,6.109,1752
Flip City,1801,6.39,6.109,3066
Colony,1802,6.66,6.109,1446
A Brief History of the World,1803,6.95,6.109,878
Carnival Zombie,1804,7.2,6.107,710
Tesla vs. Edison: War of Currents,1805,6.72,6.106,1269
Speed Circuit,1806,6.9,6.106,1052
Pagoda,1807,6.69,6.105,1273
Dutch Blitz,1808,6.61,6.105,1876
Cloud 9,1809,6.47,6.104,2155
Salem 1692,1810,7.0,6.104,955
Dungeon Command: Tyranny of Goblins,1811,7.41,6.103,630
Iliad,1812,6.55,6.103,1795
Dungeon Saga: Dwarf King's Quest,1813,7.34,6.102,832
Best Treehouse Ever,1814,6.65,6.102,1424
Buffy the Vampire Slayer: The Game,1815,6.63,6.102,1584
Ivanhoe,1816,6.54,6.102,1740
Unusual Suspects,1817,6.5,6.102,1912
Africana,1818,6.75,6.102,1174
Clockwork Wars,1819,7.66,6.102,504
Petrichor,1820,7.08,6.102,812
Star Fleet Battles,1821,6.82,6.101,1197
Carcassonne: The Discovery,1822,6.5,6.101,2062
WildLife,1823,6.67,6.101,1332
Seikatsu,1824,7.25,6.101,663
Risk: The Lord of the Rings Trilogy Edition,1825,6.48,6.101,3038
The City,1826,6.55,6.1,1673
Dark Souls: The Board Game,1827,6.68,6.1,2446
Airships,1828,6.39,6.1,2550
Pax Romana,1829,7.37,6.1,616
Die Siedler von Nürnberg,1830,6.96,6.1,871
Aristeia!,1831,8.5,6.099,400
Star Fluxx,1832,6.38,6.098,4368
Android: Mainframe,1833,6.71,6.098,1274
Zombie Dice,1834,6.22,6.098,14340
Imaginarium,1835,7.21,6.097,714
Limes,1836,6.92,6.097,890
The Thing: Infection at Outpost 31,1837,7.32,6.097,765
Rheinländer,1838,6.61,6.096,1468
Archon: Glory & Machination,1839,7.03,6.096,792
Galactic Emperor,1840,6.62,6.096,1375
Walk the Plank!,1841,6.62,6.096,1582
Angola,1842,8.02,6.095,401
Space Dealer,1843,6.56,6.095,1615
Norenberc,1844,6.82,6.095,1007
Key Flow,1845,7.52,6.095,511
Small City,1846,7.55,6.093999999999999,505
Cardline: Animals,1847,6.59,6.093,1549
Detroit-Cleveland Grand Prix,1848,6.79,6.093,1067
SeaFall,1849,6.48,6.093,2472
Dungeon Command: Blood of Gruumsh,1850,7.58,6.093,547
New World: A Carcassonne Game,1851,6.48,6.093,2048
Return of the Heroes,1852,6.5,6.0920000000000005,1978
Sushizock im Gockelwok,1853,6.47,6.0920000000000005,2062
Pentago,1854,6.4,6.0920000000000005,2718
Steam Works,1855,7.07,6.0920000000000005,771
Medieval Merchant,1856,6.75,6.0920000000000005,1106
Mutant Chronicles: Siege of the Citadel,1857,7.01,6.091,978
Age of Napoleon,1858,6.87,6.09,1075
Defenders of the Last Stand,1859,7.58,6.09,512
Gheos,1860,6.53,6.0889999999999995,1681
Leader 1,1861,6.99,6.0889999999999995,858
Doppelkopf,1862,7.46,6.0889999999999995,567
