Arating,Grating,votes
7.10,6.316,1274
6.77,6.316,2278
7.90,6.316,778
6.56,6.316,9620
6.92,6.315,1731
7.54,6.315,894
7.55,6.314,829
7.90,6.314,702
8.14,6.314,579
7.23,6.314,1186
7.46,6.314,853
7.96,6.313,618
7.28,6.313,1079
7.51,6.312,842
7.14,6.312,1210
6.92,6.312,1692
6.57,6.312,4535
6.66,6.312,3100
6.89,6.309,1856
6.77,6.308,2328
6.85,6.308,1906
6.54,6.307,11457
6.83,6.307,2035
7.12,6.306,1335
6.48,6.306,9399
7.24,6.306,1170
8.02,6.306,659
6.94,6.305,1588
7.03,6.305,1649
6.79,6.305,2218
6.94,6.305,1588
6.96,6.304,1538
7.42,6.304,893
6.79,6.304,2087
6.71,6.304,2637
6.93,6.304,1670
6.77,6.303,2192
6.82,6.303,1901
6.99,6.303,1459
7.02,6.302,1789
6.93,6.302,1711
7.21,6.302,1313
7.87,6.302,690
6.97,6.302,1635
7.59,6.302,822
6.64,6.301,3058
6.73,6.301,2649
7.39,6.301,990
7.19,6.301,1127
7.14,6.300,1302
6.54,6.300,4591
6.82,6.299,1895
7.80,6.298,732
7.20,6.298,1179
7.20,6.298,1134
7.72,6.298,743
7.14,6.297,1196
6.53,6.297,4680
6.69,6.297,2643
7.28,6.296,984
7.41,6.295,895
6.73,6.294,2647
6.57,6.292,3954
6.89,6.292,1611
7.67,6.292,798
6.63,6.292,3027
6.74,6.292,2110
6.96,6.291,1497
6.61,6.291,3199
6.88,6.291,1712
6.79,6.291,2002
6.78,6.290,1990
7.15,6.289,1169
7.00,6.289,1402
7.26,6.289,1074
7.03,6.289,1379
7.58,6.288,757
6.75,6.287,2279
6.58,6.287,4097
7.34,6.287,958
6.75,6.286,2603
7.20,6.286,1130
6.81,6.285,1826
7.03,6.285,1454
6.70,6.285,2793
7.77,6.285,690
6.67,6.284,2636
6.80,6.284,2040
6.59,6.283,3261
7.44,6.283,868
6.74,6.283,2277
7.02,6.282,1373
6.97,6.281,1494
7.53,6.280,775
6.64,6.280,2588
6.95,6.279,1405
6.67,6.278,2479
6.80,6.278,1877
6.65,6.278,2814
6.70,6.278,2357
6.92,6.276,1575
7.79,6.276,781
6.61,6.276,3233
6.77,6.275,1940
7.53,6.275,874
7.10,6.275,1180
6.97,6.274,1360
7.00,6.274,1423
6.82,6.273,1824
6.48,6.273,5316
7.39,6.272,862
6.82,6.272,1737
7.16,6.272,1093
6.61,6.272,2863
6.63,6.271,2854
6.91,6.270,1518
7.31,6.269,966
7.57,6.269,770
7.06,6.268,1227
6.91,6.268,1535
7.23,6.267,1006
6.57,6.267,3394
6.92,6.266,1519
7.02,6.266,1292
6.76,6.265,1878
6.72,6.265,2113
7.38,6.265,872
6.92,6.265,1443
6.45,6.264,7314
6.85,6.262,1666
6.92,6.262,1470
7.90,6.262,600
6.57,6.261,4674
6.62,6.261,2682
7.15,6.261,1089
6.64,6.260,2992
6.91,6.260,1446
6.98,6.259,1494
7.46,6.259,816
7.32,6.259,924
6.89,6.259,1672
6.80,6.259,1709
6.96,6.259,1374
6.85,6.258,1657
7.04,6.258,1250
8.04,6.257,635
7.83,6.257,820
7.41,6.257,828
6.70,6.257,2501
6.90,6.256,1576
6.78,6.256,1994
6.66,6.254,2377
7.94,6.254,576
6.92,6.251,1967
7.17,6.251,1013
8.04,6.250,536
7.20,6.250,1202
7.33,6.249,896
7.65,6.249,822
6.58,6.249,2896
8.21,6.248,926
6.77,6.248,1973
6.83,6.248,1627
6.89,6.248,1481
6.94,6.247,1412
6.72,6.247,2007
6.53,6.247,3574
7.20,6.246,964
7.04,6.246,1177
7.13,6.245,1091
7.28,6.245,909
7.30,6.245,926
7.18,6.245,1003
6.79,6.244,1811
7.36,6.243,870
7.54,6.243,749
6.71,6.243,2277
6.52,6.242,3682
7.96,6.242,514
7.50,6.242,782
7.28,6.240,1197
6.75,6.240,1874
7.14,6.240,1208
6.77,6.240,1710
6.94,6.239,1351
8.42,6.238,513
6.95,6.238,1457
6.80,6.238,1609
7.08,6.238,1216
6.83,6.237,1612
6.83,6.237,1666
6.62,6.236,2453
6.73,6.235,1796
7.33,6.235,1004
6.81,6.235,1563
6.57,6.234,2877
6.68,6.233,2361
7.36,6.233,825
6.64,6.233,2218
7.56,6.233,948
6.39,6.232,7450
6.52,6.232,4608
7.49,6.232,751
8.11,6.231,1156
6.88,6.231,1688
7.72,6.230,643
6.79,6.230,1577
6.78,6.230,1787
6.43,6.229,5035
7.12,6.229,1179
6.52,6.229,3381
7.96,6.228,570
6.91,6.227,1348
6.73,6.227,1785
6.73,6.226,1855
6.44,6.226,5501
7.05,6.226,1120
6.39,6.226,8616
6.81,6.226,1521
6.66,6.225,2498
7.04,6.224,1056
6.70,6.224,1830
6.62,6.223,2351
6.59,6.223,2722
7.13,6.222,950
6.66,6.222,2614
6.72,6.221,1809
7.25,6.221,895
7.65,6.221,650
6.88,6.221,1575
6.92,6.221,1296
7.65,6.221,660
6.79,6.220,1633
7.20,6.220,946
7.24,6.219,911
6.83,6.219,1509
6.79,6.219,1531
8.09,6.218,548
6.47,6.218,3791
7.01,6.218,1237
6.47,6.217,3716
6.60,6.217,2507
8.09,6.217,497
6.95,6.216,1408
7.49,6.216,720
6.93,6.215,1306
6.93,6.215,1229
7.28,6.214,822
6.63,6.213,2542
7.21,6.213,969
7.15,6.213,987
6.99,6.213,1117
7.30,6.212,819
7.11,6.212,983
7.16,6.211,944
7.87,6.211,579
6.84,6.211,1412
6.71,6.210,1844
6.90,6.210,1293
7.64,6.209,663
7.12,6.208,960
6.79,6.207,1589
6.77,6.207,1552
7.10,6.205,991
6.87,6.205,1312
6.62,6.205,2089
6.70,6.205,1910
6.89,6.205,1387
6.77,6.205,2046
6.70,6.204,1873
7.38,6.204,790
8.38,6.204,408
7.91,6.203,545
7.09,6.203,1017
6.36,6.203,11884
6.80,6.202,1588
6.83,6.201,1435
6.68,6.201,2024
7.18,6.201,938
7.42,6.201,732
6.51,6.201,3166
6.90,6.200,1209
6.74,6.200,1628
7.64,6.200,643
7.85,6.200,559
6.88,6.200,1254
6.55,6.200,3630
7.55,6.199,671
7.27,6.199,969
7.98,6.199,509
7.37,6.199,820
7.09,6.198,977
6.91,6.198,1251
6.83,6.197,1717
6.63,6.197,1987
8.31,6.197,468
6.57,6.197,2422
6.90,6.196,1260
6.54,6.196,2542
7.46,6.195,677
7.65,6.195,627
7.23,6.195,832
6.57,6.195,2400
6.38,6.195,5214
6.42,6.195,5125
7.17,6.194,954
7.47,6.193,734
6.53,6.193,2571
6.45,6.193,3607
6.43,6.193,4074
6.86,6.193,1308
7.22,6.192,961
6.65,6.192,1967
7.42,6.192,768
6.88,6.191,1297
6.88,6.191,1255
7.33,6.190,851
6.89,6.190,1231
7.55,6.187,794
6.61,6.187,2051
7.03,6.187,1038
6.71,6.187,1627
6.67,6.186,2000
6.33,6.186,7378
6.33,6.186,10339
7.64,6.186,584
6.62,6.185,2071
6.80,6.185,1751
6.43,6.185,4717
6.68,6.185,1760
6.60,6.184,2198
7.07,6.184,1020
6.68,6.183,1682
7.06,6.183,953
7.06,6.182,997
7.29,6.182,742
7.46,6.182,702
7.08,6.180,956
6.91,6.180,1174
6.95,6.180,1085
6.55,6.180,2329
6.57,6.180,2412
7.02,6.179,1046
6.49,6.179,2778
7.10,6.179,1083
6.68,6.178,1823
6.28,6.177,22874
6.65,6.177,2147
7.44,6.176,670
7.19,6.176,960
7.16,6.176,929
6.76,6.176,1523
8.37,6.175,448
6.87,6.175,1496
7.72,6.175,587
6.45,6.174,3176
6.48,6.173,2858
6.75,6.173,1465
6.35,6.173,6811
6.51,6.173,3000
6.76,6.172,1421
6.98,6.172,1176
7.25,6.171,878
6.53,6.170,2336
7.44,6.169,639
6.62,6.169,2135
7.34,6.169,726
6.51,6.169,2601
7.23,6.169,848
6.48,6.169,2939
7.06,6.168,949
6.60,6.168,2197
7.08,6.167,988
6.96,6.167,1039
6.41,6.167,3482
6.88,6.166,1364
7.61,6.166,709
6.73,6.165,1459
6.44,6.165,3329
6.61,6.164,2055
6.95,6.163,1049
6.84,6.163,1288
6.65,6.163,1687
6.67,6.162,1602
6.78,6.162,1372
6.54,6.162,2289
6.51,6.162,2620
6.74,6.161,1429
7.09,6.161,963
6.54,6.161,2499
7.99,6.161,485
6.89,6.161,1203
6.82,6.161,1221
6.82,6.160,1251
6.44,6.160,3010
6.89,6.160,1102
6.49,6.160,2481
7.84,6.159,483
6.93,6.159,1053
7.31,6.159,808
6.74,6.158,1457
7.23,6.158,820
6.79,6.158,1387
7.45,6.158,663
6.45,6.157,2863
6.90,6.156,1166
7.49,6.155,655
7.00,6.155,1049
8.10,6.155,563
6.49,6.155,2597
7.37,6.155,776
6.79,6.154,1395
6.72,6.154,1495
6.74,6.153,1611
7.68,6.153,549
6.97,6.153,1051
7.80,6.152,526
6.86,6.151,1392
7.08,6.151,897
7.89,6.151,474
8.00,6.151,446
7.10,6.149,929
7.10,6.149,970
6.65,6.149,1710
6.82,6.149,1192
7.91,6.148,459
6.82,6.148,1168
8.04,6.148,558
6.73,6.148,1469
7.43,6.147,632
7.34,6.147,721
8.09,6.146,501
6.86,6.146,1227
6.93,6.145,1118
6.77,6.145,1305
6.72,6.145,1339
7.13,6.145,910
7.24,6.144,741
6.41,6.143,3341
8.11,6.143,446
7.42,6.143,633
7.05,6.143,866
7.49,6.141,644
7.11,6.141,898
6.76,6.141,1288
7.45,6.141,652
6.78,6.141,1320
6.31,6.141,11263
6.79,6.140,1289
6.92,6.139,1013
6.58,6.139,1835
7.22,6.139,877
6.98,6.138,934
6.70,6.138,1625
6.46,6.138,2679
6.38,6.137,3552
6.90,6.137,1008
6.99,6.136,946
6.82,6.135,1400
6.72,6.135,1390
6.69,6.134,1775
6.28,6.134,8920
6.50,6.134,2298
7.14,6.134,819
7.24,6.133,707
6.86,6.133,1101
6.78,6.133,1527
6.44,6.132,2714
7.16,6.132,817
6.83,6.131,1115
6.86,6.130,1141
6.36,6.130,3594
6.72,6.130,1500
7.09,6.129,892
6.82,6.129,1264
7.15,6.128,785
6.30,6.128,5439
7.90,6.128,466
6.85,6.128,1181
7.32,6.127,696
6.50,6.126,2436
7.30,6.126,680
6.76,6.125,1210
6.61,6.124,1613
7.50,6.124,635
7.04,6.124,837
7.00,6.124,840
6.92,6.123,969
7.52,6.122,599
6.91,6.122,976
7.07,6.122,995
7.83,6.122,467
7.58,6.122,524
7.12,6.122,804
6.68,6.122,1851
6.49,6.122,3002
6.61,6.122,1713
7.11,6.121,825
7.72,6.121,548
7.11,6.120,833
7.67,6.120,511
6.67,6.119,1418
6.89,6.118,1033
6.86,6.118,1100
8.05,6.118,421
6.86,6.117,1076
7.83,6.116,487
6.72,6.116,1280
6.83,6.116,1072
6.56,6.115,1841
6.70,6.115,1352
6.78,6.115,1219
6.88,6.115,1021
6.73,6.114,1363
7.02,6.114,1011
6.84,6.114,1024
6.84,6.114,1044
6.47,6.114,2950
6.79,6.113,1262
6.54,6.112,1872
7.28,6.112,725
6.77,6.112,1423
6.60,6.112,1641
6.49,6.111,2718
7.10,6.110,818
6.72,6.110,1329
6.62,6.110,1448
7.88,6.109,457
6.54,6.109,1752
6.39,6.109,3066
6.66,6.109,1446
6.95,6.109,878
7.20,6.107,710
6.72,6.106,1269
6.90,6.106,1052
6.69,6.105,1273
6.61,6.105,1876
6.47,6.104,2155
7.00,6.104,955
7.41,6.103,630
6.55,6.103,1795
7.34,6.102,832
6.65,6.102,1424
6.63,6.102,1584
6.54,6.102,1740
6.50,6.102,1912
6.75,6.102,1174
7.66,6.102,504
7.08,6.102,812
6.82,6.101,1197
6.50,6.101,2062
6.67,6.101,1332
7.25,6.101,663
6.48,6.101,3038
6.55,6.100,1673
6.68,6.100,2446
6.39,6.100,2550
7.37,6.100,616
6.96,6.100,871
8.50,6.099,400
6.38,6.098,4368
6.71,6.098,1274
6.22,6.098,14340
7.21,6.097,714
6.92,6.097,890
7.32,6.097,765
6.61,6.096,1468
7.03,6.096,792
6.62,6.096,1375
6.62,6.096,1582
8.02,6.095,401
6.56,6.095,1615
6.82,6.095,1007
7.52,6.095,511
7.55,6.094,505
6.59,6.093,1549
6.79,6.093,1067
6.48,6.093,2472
7.58,6.093,547
6.48,6.093,2048
6.50,6.092,1978
6.47,6.092,2062
6.40,6.092,2718
7.07,6.092,771
6.75,6.092,1106
7.01,6.091,978
6.87,6.090,1075
7.58,6.090,512
6.53,6.089,1681
6.99,6.089,858
7.46,6.089,567
7.11,6.088,771
6.48,6.088,1823
6.46,6.087,1934
7.67,6.087,483
7.70,6.087,501
6.56,6.087,1611
8.15,6.087,384
6.67,6.087,1276
7.57,6.086,483
6.64,6.086,1384
6.97,6.086,856
7.23,6.086,714
7.74,6.086,498
6.52,6.085,2363
7.20,6.085,685
6.61,6.085,1397
7.27,6.085,584
7.32,6.084,658
6.44,6.084,2225
7.06,6.084,777
6.61,6.083,1392
6.40,6.083,2349
7.43,6.083,567
8.18,6.083,384
6.90,6.083,946
6.55,6.082,1567
6.44,6.082,2026
6.51,6.082,1710
8.71,6.082,273
6.63,6.081,1544
6.57,6.081,1510
6.49,6.080,1794
6.84,6.080,985
6.68,6.080,1216
6.73,6.080,1098
6.83,6.079,975
7.49,6.079,499
8.06,6.079,421
6.42,6.079,2352
6.27,6.079,7031
6.89,6.078,901
7.41,6.078,560
6.46,6.078,2108
7.26,6.076,646
6.76,6.076,1032
7.01,6.075,859
7.35,6.075,566
6.87,6.075,945
7.43,6.075,615
7.71,6.075,504
7.08,6.074,810
6.50,6.073,2261
7.60,6.073,611
7.28,6.073,627
7.53,6.073,513
7.02,6.072,840
6.76,6.072,1039
7.61,6.072,538
6.99,6.072,890
6.36,6.071,4775
7.89,6.071,378
6.83,6.071,911
6.96,6.070,793
7.28,6.070,589
7.11,6.070,791
8.31,6.070,441
6.58,6.070,1430
6.56,6.070,1516
7.28,6.069,627
7.40,6.069,610
6.52,6.069,1593
7.23,6.069,663
6.68,6.068,1171
6.49,6.068,1905
6.96,6.068,823
7.36,6.068,592
8.67,6.067,304
6.56,6.067,1667
6.74,6.067,1451
6.62,6.067,1282
6.90,6.066,860
6.97,6.066,820
7.35,6.065,544
6.46,6.065,1807
6.80,6.065,986
6.54,6.065,1517
7.05,6.064,725
6.88,6.064,858
6.96,6.064,812
6.59,6.063,1495
7.14,6.063,716
6.71,6.063,1140
6.46,6.062,1851
6.60,6.062,1371
7.92,6.062,503
6.42,6.062,2028
7.68,6.061,467
7.02,6.061,802
6.70,6.061,1098
6.76,6.060,1037
6.51,6.060,1581
6.37,6.060,2375
6.40,6.059,2337
6.51,6.059,1508
7.94,6.059,382
6.95,6.059,895
7.35,6.057,557
7.48,6.057,589
7.19,6.057,676
6.75,6.057,997
7.32,6.057,545
7.68,6.056,614
7.45,6.056,533
7.37,6.056,579
7.23,6.056,572
7.12,6.056,722
6.36,6.056,2655
7.91,6.056,401
6.61,6.056,1305
6.65,6.056,1215
7.25,6.055,687
8.04,6.054,428
6.81,6.054,931
6.65,6.054,1287
7.03,6.054,700
6.88,6.053,826
6.57,6.053,1432
6.44,6.052,2325
6.47,6.052,1720
6.71,6.052,1062
7.45,6.052,555
6.61,6.052,1230
6.98,6.051,750
6.99,6.051,741
6.58,6.051,1328
8.22,6.051,351
7.41,6.050,576
6.36,6.050,2463
6.53,6.050,1567
6.83,6.050,956
6.55,6.050,1338
6.89,6.049,804
7.34,6.049,628
6.63,6.048,1198
6.63,6.048,1152
8.03,6.048,340
6.57,6.048,1295
6.47,6.047,2203
6.86,6.047,963
7.07,6.047,649
6.76,6.047,1063
6.80,6.047,962
6.80,6.046,934
7.16,6.046,727
8.42,6.046,377
6.32,6.045,2732
6.53,6.045,1399
7.09,6.045,711
6.68,6.044,1070
6.46,6.044,1698
6.87,6.043,835
7.24,6.043,633
6.51,6.043,1534
7.71,6.043,418
6.95,6.042,805
8.01,6.042,458
7.53,6.042,453
7.21,6.042,612
7.06,6.042,737
7.67,6.042,498
6.51,6.041,1530
6.82,6.041,908
6.37,6.041,2172
6.89,6.041,822
6.60,6.041,1406
6.60,6.041,1248
6.95,6.040,876
6.98,6.040,779
7.38,6.040,491
8.14,6.039,355
7.14,6.038,771
7.50,6.038,480
7.86,6.038,428
7.36,6.038,569
7.19,6.038,689
7.85,6.037,404
6.18,6.037,5438
6.80,6.037,920
6.86,6.037,820
7.37,6.036,532
6.89,6.036,754
6.62,6.036,1214
6.58,6.036,1288
6.72,6.036,1040
7.01,6.035,734
6.55,6.035,1375
7.06,6.035,719
6.53,6.034,1462
6.57,6.034,1332
7.51,6.034,460
6.68,6.034,1042
6.44,6.033,1639
6.56,6.033,1316
6.67,6.033,1059
6.58,6.033,1480
7.05,6.033,679
6.75,6.033,931
6.71,6.033,1006
6.44,6.032,1631
6.90,6.032,776
6.76,6.031,922
7.39,6.031,539
6.58,6.031,1486
7.20,6.030,542
6.68,6.030,1530
6.73,6.030,1034
7.57,6.030,467
6.52,6.029,1402
6.93,6.029,802
6.40,6.029,1839
8.01,6.029,414
7.47,6.028,500
6.48,6.028,1488
7.26,6.028,547
7.04,6.028,663
6.20,6.028,6135
6.38,6.027,2001
6.94,6.027,749
7.18,6.027,570
7.72,6.026,410
6.70,6.026,1129
6.94,6.026,694
7.21,6.026,596
6.89,6.026,784
8.14,6.025,453
7.64,6.025,422
7.35,6.025,511
6.39,6.025,2260
7.14,6.025,580
6.51,6.024,1346
7.42,6.024,520
7.44,6.024,475
6.56,6.024,1277
6.52,6.024,1321
6.45,6.024,1699
6.82,6.023,863
6.35,6.023,2191
6.64,6.023,1146
6.89,6.023,742
7.24,6.023,597
6.39,6.022,2142
6.80,6.021,831
6.60,6.021,1179
8.04,6.021,361
6.88,6.021,822
8.34,6.021,398
6.45,6.021,1509
6.38,6.020,2432
6.36,6.020,2119
7.33,6.020,507
7.09,6.020,669
6.43,6.020,1681
7.54,6.020,730
7.76,6.020,413
6.80,6.019,818
6.97,6.019,672
6.76,6.019,1014
6.73,6.019,944
6.21,6.019,5022
6.39,6.018,1737
6.44,6.018,1629
6.88,6.018,770
6.41,6.018,1729
7.25,6.016,600
7.98,6.016,354
6.64,6.016,1088
6.86,6.015,737
7.09,6.015,665
6.50,6.015,1344
6.84,6.015,794
7.84,6.015,463
6.77,6.015,1246
7.12,6.014,628
6.42,6.014,1584
6.90,6.014,749
7.10,6.014,666
6.75,6.014,890
8.64,6.014,391
6.61,6.013,1112
8.72,6.013,239
6.86,6.013,748
7.83,6.013,459
6.55,6.013,1650
8.24,6.013,320
6.75,6.013,1128
6.77,6.012,878
6.39,6.012,1787
7.04,6.011,623
7.67,6.011,399
7.98,6.011,363
6.46,6.011,1428
6.83,6.011,802
6.93,6.010,717
7.28,6.010,603
7.29,6.010,533
7.49,6.010,463
6.42,6.009,1572
6.51,6.009,1560
6.66,6.008,982
8.03,6.008,346
7.07,6.008,608
6.50,6.007,1414
7.01,6.007,659
6.77,6.007,881
6.66,6.007,971
7.43,6.007,441
7.37,6.006,564
7.45,6.005,593
6.91,6.005,723
7.57,6.005,456
6.55,6.005,1271
6.52,6.005,1169
6.83,6.004,746
6.63,6.004,1000
7.01,6.004,713
6.92,6.004,757
6.15,6.003,6790
7.19,6.003,533
7.75,6.003,399
7.42,6.003,443
6.73,6.003,863
7.01,6.002,676
6.59,6.001,1100
7.09,6.001,650
6.60,6.000,1067
7.06,5.999,625
6.38,5.999,1687
8.16,5.999,359
7.32,5.998,522
7.17,5.998,538
6.48,5.998,1335
7.37,5.997,470
6.36,5.997,2029
7.76,5.997,546
6.72,5.997,975
6.87,5.997,784
6.16,5.997,6000
6.85,5.997,781
6.82,5.996,744
6.53,5.996,1249
6.38,5.996,1711
6.67,5.996,880
6.79,5.996,800
6.16,5.995,7198
7.09,5.995,595
6.47,5.995,1338
7.32,5.995,479
6.69,5.994,887
7.19,5.994,529
6.71,5.994,897
6.77,5.994,799
7.78,5.993,406
8.04,5.993,308
7.01,5.992,595
6.75,5.992,795
6.96,5.992,652
6.43,5.992,1475
6.39,5.991,1674
7.25,5.991,642
7.88,5.991,350
7.12,5.991,545
7.37,5.990,432
7.15,5.990,532
6.29,5.990,2209
6.65,5.990,952
6.51,5.990,1205
6.74,5.990,825
6.96,5.990,639
6.68,5.990,880
7.52,5.989,414
6.83,5.989,707
6.71,5.989,946
6.82,5.989,768
6.17,5.989,3723
7.18,5.989,613
6.27,5.989,2265
7.32,5.988,453
6.43,5.988,1430
6.99,5.988,686
7.02,5.988,578
6.92,5.988,667
7.55,5.988,382
7.55,5.988,396
7.74,5.988,354
7.19,5.987,549
6.84,5.987,864
6.34,5.987,2165
6.59,5.987,991
6.82,5.987,765
7.59,5.986,430
7.40,5.986,421
6.72,5.986,1160
6.46,5.986,1481
6.76,5.986,814
6.44,5.985,1450
7.32,5.985,454
6.45,5.985,1371
6.46,5.985,1381
8.00,5.985,338
6.67,5.984,1016
6.61,5.984,962
8.06,5.984,276
7.80,5.984,350
7.00,5.984,613
7.33,5.983,494
7.50,5.983,412
7.35,5.983,452
7.55,5.983,405
7.85,5.983,327
6.75,5.982,845
6.86,5.982,721
6.84,5.982,682
6.43,5.982,1431
7.13,5.982,525
6.42,5.981,1832
8.23,5.981,260
6.83,5.981,715
6.84,5.980,766
6.24,5.980,4530
6.74,5.980,771
7.49,5.980,428
6.45,5.980,1295
6.61,5.979,953
6.59,5.979,1122
6.45,5.979,1306
6.84,5.978,676
7.97,5.978,325
6.52,5.978,1120
7.56,5.978,401
7.06,5.978,537
7.25,5.977,524
7.12,5.976,533
6.55,5.976,1078
6.93,5.976,610
6.46,5.975,1195
6.94,5.975,596
6.86,5.974,677
6.95,5.974,652
6.43,5.974,1343
6.78,5.974,720
6.51,5.974,1548
7.74,5.973,409
6.73,5.973,795
6.79,5.972,791
6.93,5.972,660
6.60,5.972,924
8.45,5.972,262
6.62,5.972,1088
6.52,5.971,1090
6.51,5.971,1117
6.63,5.971,965
7.81,5.971,349
7.84,5.971,424
7.46,5.971,441
6.43,5.971,1570
6.99,5.971,582
6.37,5.970,1424
7.08,5.970,570
7.22,5.970,467
6.81,5.970,742
6.61,5.969,930
6.98,5.969,675
6.41,5.969,1935
7.73,5.969,368
6.74,5.968,735
6.71,5.968,820
6.86,5.968,660
7.53,5.968,404
6.93,5.968,620
7.36,5.967,433
7.07,5.967,531
7.37,5.966,526
6.53,5.966,1026
6.60,5.966,1011
8.28,5.966,281
6.92,5.966,645
6.28,5.966,1860
6.93,5.965,607
7.16,5.965,485
6.95,5.965,639
6.60,5.965,910
6.86,5.964,668
7.81,5.964,351
7.34,5.964,455
7.69,5.963,368
6.71,5.963,805
6.44,5.963,1334
6.68,5.963,961
7.72,5.963,343
7.29,5.963,504
6.78,5.963,752
6.71,5.962,806
6.43,5.962,1263
7.17,5.962,490
6.30,5.962,1714
6.51,5.962,1178
7.14,5.962,568
6.47,5.961,1137
7.91,5.961,335
6.34,5.961,1698
7.04,5.961,583
6.70,5.961,756
6.46,5.960,1211
6.34,5.960,1507
6.63,5.960,891
6.35,5.960,1550
6.72,5.960,755
6.29,5.960,1810
7.24,5.960,453
6.38,5.959,1369
6.89,5.959,623
6.60,5.958,910
7.39,5.958,425
6.78,5.958,778
6.83,5.958,637
7.78,5.957,346
8.19,5.957,277
7.30,5.957,420
6.07,5.957,12008
6.80,5.956,738
8.68,5.956,341
6.57,5.955,976
6.40,5.955,1338
6.68,5.954,810
6.98,5.954,712
7.58,5.954,379
6.90,5.954,644
6.33,5.953,1513
6.38,5.953,1414
6.94,5.953,563
6.78,5.953,781
6.24,5.953,2234
6.41,5.953,1242
6.96,5.953,580
7.16,5.953,474
7.77,5.952,427
7.24,5.952,448
6.55,5.952,966
7.55,5.951,349
7.06,5.951,517
7.46,5.951,365
8.03,5.951,293
6.50,5.950,1023
6.44,5.950,1149
7.28,5.950,427
6.64,5.950,895
7.35,5.950,398
6.27,5.949,1996
6.32,5.949,1589
6.89,5.949,672
6.40,5.949,1293
6.87,5.949,624
6.34,5.948,1457
7.62,5.948,352
6.77,5.948,660
7.12,5.947,493
7.01,5.947,535
6.69,5.947,752
7.88,5.947,308
6.34,5.946,1509
6.29,5.946,1612
7.63,5.946,377
6.83,5.946,675
7.95,5.946,342
8.27,5.946,262
6.92,5.945,569
7.22,5.945,447
7.57,5.945,371
6.58,5.944,932
7.07,5.944,493
8.19,5.944,245
6.53,5.943,928
7.01,5.943,756
6.43,5.942,1159
7.36,5.942,436
6.32,5.942,1459
6.76,5.942,742
8.28,5.941,255
6.66,5.941,796
7.28,5.941,435
6.48,5.940,1070
6.89,5.940,652
7.25,5.940,431
8.11,5.939,268
6.45,5.939,1054
6.59,5.939,847
7.08,5.939,477
6.79,5.939,660
6.38,5.939,1310
7.15,5.939,467
6.25,5.939,2722
7.09,5.939,499
6.50,5.939,1008
7.05,5.939,521
6.80,5.938,647
6.54,5.938,1313
7.14,5.938,495
6.21,5.938,2837
6.41,5.938,1129
6.45,5.938,1193
6.62,5.938,851
6.77,5.937,674
7.15,5.937,466
7.15,5.937,455
6.39,5.937,1253
6.37,5.936,1357
6.38,5.936,1280
6.37,5.936,1302
7.49,5.936,354
6.86,5.935,576
7.49,5.935,389
8.73,5.935,365
7.28,5.935,423
6.55,5.935,881
7.13,5.935,478
7.05,5.935,500
6.52,5.934,978
6.81,5.934,630
6.69,5.934,704
7.62,5.934,325
6.37,5.934,1322
6.75,5.933,675
6.71,5.933,692
7.58,5.933,316
6.70,5.933,783
7.06,5.933,472
6.21,5.933,2699
8.53,5.932,319
6.37,5.932,1334
6.58,5.932,866
6.51,5.932,931
6.93,5.931,541
6.22,5.931,1903
6.95,5.931,516
6.75,5.931,696
6.17,5.930,5736
7.15,5.930,504
7.26,5.930,423
7.75,5.930,325
7.61,5.930,388
6.99,5.930,509
6.69,5.930,803
6.64,5.929,756
6.52,5.929,984
6.74,5.929,711
6.71,5.929,704
6.36,5.929,1258
7.58,5.929,340
6.96,5.929,520
7.62,5.929,568
7.71,5.928,303
7.23,5.928,421
6.41,5.928,1203
7.13,5.928,466
7.88,5.928,300
6.63,5.927,772
7.49,5.927,374
6.35,5.927,1392
6.44,5.927,1207
7.28,5.927,384
6.77,5.927,646
6.47,5.926,1111
7.99,5.926,272
6.21,5.926,1997
7.02,5.926,494
8.38,5.926,232
6.60,5.926,810
6.42,5.925,1121
6.56,5.925,863
6.59,5.925,789
7.93,5.925,260
6.74,5.925,754
8.21,5.924,278
6.20,5.924,2402
7.38,5.924,431
7.21,5.924,420
6.84,5.923,574
8.42,5.923,270
6.18,5.923,2774
7.18,5.923,401
7.23,5.923,387
8.51,5.923,252
7.23,5.923,463
6.61,5.922,871
6.07,5.922,6079
6.53,5.922,962
6.84,5.922,563
7.12,5.922,450
6.58,5.922,795
7.10,5.922,445
6.56,5.921,1154
6.58,5.921,795
6.85,5.921,535
7.19,5.921,776
7.57,5.921,326
6.46,5.921,980
6.49,5.921,1110
6.37,5.920,1245
6.48,5.919,1374
6.82,5.919,689
7.02,5.919,498
6.54,5.919,1032
7.64,5.919,328
6.61,5.919,844
6.32,5.919,1642
6.40,5.919,1220
6.48,5.918,1034
6.59,5.918,824
6.51,5.917,877
6.72,5.917,662
6.81,5.917,657
6.83,5.917,569
6.89,5.916,574
6.99,5.916,472
7.27,5.916,609
6.48,5.916,982
7.41,5.916,353
6.59,5.916,798
6.69,5.916,674
6.90,5.915,617
6.95,5.915,590
6.65,5.915,769
7.11,5.915,475
6.61,5.915,850
6.72,5.915,628
6.36,5.915,1222
7.30,5.914,401
6.97,5.914,473
7.55,5.914,353
6.34,5.914,1376
6.77,5.914,620
7.46,5.914,477
7.56,5.914,321
6.27,5.914,2293
